z,y,x
194,7808,4206
195,7808,4203
196,7808,4200
197,7808,4200
198,7808,4200
199,7808,4200
200,7808,4200
201,7808,4200
202,7808,4200
203,7808,4200
204,7808,4200
205,7808,4198
206,7808,4196
207,7808,4194
208,7808,4192
209,7808,4192
210,7808,4192
211,7808,4192
212,7808,4192
213,7808,4192
214,7808,4192
215,7808,4192
216,7808,4192
217,7808,4192
218,7808,4192
219,7808,4192
220,7808,4192
221,7808,4192
222,7808,4192
223,7808,4192
224,7808,4192
225,7808,4192
226,7808,4192
227,7808,4192
228,7808,4192
229,7808,4192
230,7808,4192
231,7808,4192
232,7808,4192
233,7808,4192
234,7808,4192
235,7808,4192
236,7808,4192
237,7808,4193
238,7808,4194
239,7808,4195
240,7808,4196
241,7808,4196
242,7808,4196
243,7808,4196
244,7808,4196
245,7808,4196
246,7808,4196
247,7808,4196
248,7808,4196
249,7808,4196
250,7808,4196
251,7808,4196
252,7808,4196
253,7808,4196
254,7808,4196
255,7808,4196
256,7808,4196
257,7808,4196
258,7808,4196
259,7808,4196
260,7808,4196
261,7808,4196
262,7808,4196
263,7808,4196
264,7808,4196
265,7808,4197
266,7808,4198
267,7808,4199
268,7808,4200
269,7808,4200
270,7808,4200
271,7808,4200
272,7808,4200
273,7808,4200
274,7808,4200
275,7808,4200
276,7808,4200
277,7808,4200
278,7808,4200
279,7808,4200
280,7808,4200
281,7808,4201
282,7808,4202
283,7808,4203
284,7808,4204
285,7808,4205
286,7808,4206
287,7808,4207
288,7808,4208
289,7808,4208
290,7808,4208
291,7808,4208
292,7808,4208
293,7808,4211
294,7808,4214
295,7808,4217
296,7808,4220
297,7808,4220
298,7808,4220
299,7808,4220
300,7808,4220
301,7808,4221
302,7808,4222
303,7808,4223
304,7808,4224
305,7808,4226
306,7808,4228
307,7808,4230
308,7808,4232
309,7808,4234
310,7808,4236
311,7808,4238
312,7808,4240
313,7808,4241
314,7808,4242
315,7808,4243
316,7808,4244
317,7808,4246
318,7808,4248
319,7808,4250
320,7808,4252
321,7808,4255
322,7808,4258
323,7808,4261
324,7808,4264
325,7808,4255
326,7808,4246
327,7808,4237
328,7808,4228
329,7808,4228
330,7808,4228
331,7808,4228
332,7808,4228
333,7808,4228
334,7808,4228
335,7808,4228
336,7808,4228
337,7808,4228
338,7808,4228
339,7808,4228
340,7808,4228
341,7808,4228
342,7808,4228
343,7808,4228
344,7808,4228
345,7808,4228
346,7808,4228
347,7808,4228
348,7808,4228
349,7808,4227
350,7808,4226
351,7808,4225
352,7808,4224
353,7808,4224
354,7808,4224
355,7808,4224
356,7808,4224
357,7808,4224
358,7808,4224
359,7808,4224
360,7808,4224
361,7808,4225
362,7808,4226
363,7808,4227
364,7808,4228
365,7808,4229
366,7808,4230
367,7808,4231
368,7808,4232
369,7808,4232
370,7808,4232
371,7808,4232
372,7808,4232
373,7808,4232
374,7808,4232
375,7808,4232
376,7808,4232
377,7808,4233
378,7808,4234
379,7808,4235
380,7808,4236
381,7808,4237
382,7808,4238
383,7808,4239
384,7808,4240
385,7808,4241
386,7808,4242
387,7808,4243
388,7808,4244
389,7808,4245
390,7808,4246
391,7808,4247
392,7808,4248
393,7808,4248
394,7808,4248
395,7808,4248
396,7808,4248
397,7808,4248
398,7808,4248
399,7808,4248
400,7808,4248
401,7808,4248
402,7808,4248
403,7808,4248
404,7808,4248
405,7808,4248
406,7808,4248
407,7808,4248
408,7808,4248
409,7808,4248
410,7808,4248
411,7808,4248
412,7808,4248
413,7808,4248
414,7808,4248
415,7808,4248
416,7808,4248
417,7808,4249
418,7808,4250
419,7808,4251
420,7808,4252
421,7808,4253
422,7808,4254
423,7808,4255
424,7808,4256
425,7808,4256
426,7808,4256
427,7808,4256
428,7808,4256
429,7808,4256
430,7808,4256
431,7808,4256
432,7808,4256
433,7808,4256
434,7808,4256
435,7808,4256
436,7808,4256
437,7808,4256
438,7808,4256
439,7808,4256
440,7808,4256
441,7808,4256
442,7808,4256
443,7808,4256
444,7808,4256
445,7808,4256
446,7808,4256
447,7808,4256
448,7808,4256
449,7808,4256
450,7808,4256
451,7808,4256
452,7808,4256
453,7808,4256
454,7808,4256
455,7808,4256
456,7808,4256
457,7808,4256
458,7808,4256
459,7808,4256
460,7808,4256
461,7808,4256
462,7808,4256
463,7808,4256
464,7808,4256
465,7808,4256
466,7808,4256
467,7808,4256
468,7808,4256
469,7808,4256
470,7808,4256
471,7808,4256
472,7808,4256
473,7808,4256
474,7808,4256
475,7808,4256
476,7808,4256
477,7808,4256
478,7808,4256
479,7808,4256
480,7808,4256
481,7808,4256
482,7808,4256
483,7808,4256
484,7808,4256
485,7808,4256
486,7808,4256
487,7808,4256
488,7808,4256
489,7808,4256
490,7808,4256
491,7808,4256
492,7808,4256
493,7808,4256
494,7808,4256
495,7808,4256
496,7808,4256
497,7808,4256
498,7808,4256
499,7808,4256
500,7808,4256
501,7808,4256
502,7808,4256
503,7808,4256
504,7808,4256
505,7808,4256
506,7808,4256
507,7808,4256
508,7808,4256
509,7808,4256
510,7808,4256
511,7808,4256
512,7808,4256
513,7808,4256
514,7808,4256
515,7808,4256
516,7808,4256
517,7808,4256
518,7808,4256
519,7808,4256
520,7808,4256
521,7808,4256
522,7808,4256
523,7808,4256
524,7808,4256
525,7808,4256
526,7808,4256
527,7808,4256
528,7808,4256
529,7808,4256
530,7808,4256
531,7808,4256
532,7808,4256
533,7808,4256
534,7808,4256
535,7808,4256
536,7808,4256
537,7808,4256
538,7808,4256
539,7808,4256
540,7808,4256
541,7808,4257
542,7808,4258
543,7808,4259
544,7808,4260
545,7808,4260
546,7808,4260
547,7808,4260
548,7808,4260
549,7808,4260
550,7808,4260
551,7808,4260
552,7808,4260
553,7808,4260
554,7808,4260
555,7808,4260
556,7808,4260
557,7808,4260
558,7808,4260
559,7808,4260
560,7808,4260
561,7808,4260
562,7808,4260
563,7808,4260
564,7808,4260
565,7808,4260
566,7808,4260
567,7808,4260
568,7808,4260
569,7808,4260
570,7808,4260
571,7808,4260
572,7808,4260
573,7808,4260
574,7808,4260
575,7808,4260
576,7808,4260
577,7808,4260
578,7808,4260
579,7808,4260
580,7808,4260
581,7808,4260
582,7808,4260
583,7808,4260
584,7808,4260
585,7808,4260
586,7808,4260
587,7808,4260
588,7808,4260
589,7808,4260
590,7808,4260
591,7808,4260
592,7808,4260
593,7808,4260
594,7808,4260
595,7808,4260
596,7808,4260
597,7808,4260
598,7808,4260
599,7808,4260
600,7808,4260
601,7808,4260
602,7808,4260
603,7808,4260
604,7808,4260
605,7808,4260
606,7808,4260
607,7808,4260
608,7808,4260
609,7808,4260
610,7808,4260
611,7808,4260
612,7808,4260
613,7808,4260
614,7808,4260
615,7808,4260
616,7808,4260
617,7808,4260
618,7808,4260
619,7808,4260
620,7808,4260
621,7808,4260
622,7808,4260
623,7808,4260
624,7808,4260
625,7808,4261
626,7808,4262
627,7808,4263
628,7808,4264
629,7808,4266
630,7808,4268
631,7808,4270
632,7808,4272
633,7808,4273
634,7808,4274
635,7808,4275
636,7808,4276
637,7808,4277
638,7808,4278
639,7808,4279
640,7808,4280
641,7808,4281
642,7808,4282
643,7808,4283
644,7808,4284
645,7808,4284
646,7808,4284
647,7808,4284
648,7808,4284
649,7808,4284
650,7808,4284
651,7808,4284
652,7808,4284
653,7808,4284
654,7808,4284
655,7808,4284
656,7808,4284
657,7808,4284
658,7808,4284
659,7808,4284
660,7808,4284
661,7808,4285
662,7808,4286
663,7808,4287
664,7808,4288
665,7808,4289
666,7808,4290
667,7808,4291
668,7808,4292
669,7808,4293
670,7808,4294
671,7808,4295
672,7808,4296
673,7808,4298
674,7808,4300
675,7808,4302
676,7808,4304
677,7808,4305
678,7808,4306
679,7808,4307
680,7808,4308
681,7808,4309
682,7808,4310
683,7808,4311
684,7808,4312
685,7808,4313
686,7808,4314
687,7808,4315
688,7808,4316
689,7808,4317
690,7808,4318
691,7808,4319
692,7808,4320
693,7808,4320
694,7808,4320
695,7808,4320
696,7808,4320
697,7808,4321
698,7808,4322
699,7808,4323
700,7808,4324
701,7808,4324
702,7808,4324
703,7808,4324
704,7808,4324
705,7808,4320
706,7808,4316
707,7808,4312
708,7808,4308
709,7808,4308
710,7808,4308
711,7808,4308
712,7808,4308
713,7808,4308
714,7808,4308
715,7808,4308
716,7808,4308
717,7808,4308
718,7808,4308
719,7808,4308
720,7808,4308
721,7808,4308
722,7808,4308
723,7808,4308
724,7808,4308
725,7808,4308
726,7808,4308
727,7808,4308
728,7808,4308
729,7808,4307
730,7808,4306
731,7808,4305
732,7808,4304
733,7808,4304
734,7808,4304
735,7808,4304
736,7808,4304
737,7808,4304
738,7808,4304
739,7808,4304
740,7808,4304
741,7808,4304
742,7808,4304
743,7808,4304
744,7808,4304
745,7808,4303
746,7808,4302
747,7808,4301
748,7808,4300
749,7808,4300
750,7808,4300
751,7808,4300
752,7808,4300
753,7808,4300
754,7808,4300
755,7808,4300
756,7808,4300
757,7808,4300
758,7808,4300
759,7808,4300
760,7808,4300
761,7808,4300
762,7808,4300
763,7808,4300
764,7808,4300
765,7808,4300
766,7808,4300
767,7808,4300
768,7808,4300
769,7808,4303
770,7808,4306
771,7808,4309
772,7808,4312
773,7808,4312
774,7808,4312
775,7808,4312
776,7808,4312
777,7808,4312
778,7808,4312
779,7808,4312
780,7808,4312
781,7808,4312
782,7808,4312
783,7808,4312
784,7808,4312
785,7808,4312
786,7808,4312
787,7808,4312
788,7808,4312
789,7808,4312
790,7808,4312
791,7808,4312
792,7808,4312
793,7808,4312
794,7808,4312
795,7808,4312
796,7808,4312
797,7808,4312
798,7808,4312
799,7808,4312
800,7808,4312
801,7808,4312
802,7808,4312
803,7808,4312
804,7808,4312
805,7808,4312
806,7808,4312
807,7808,4312
808,7808,4312
809,7808,4312
810,7808,4312
811,7808,4312
812,7808,4312
813,7808,4312
814,7808,4312
815,7808,4312
816,7808,4312
817,7808,4312
818,7808,4312
819,7808,4312
820,7808,4312
821,7808,4312
822,7808,4312
823,7808,4312
824,7808,4312
825,7808,4312
826,7808,4312
827,7808,4312
828,7808,4312
829,7808,4312
830,7808,4312
831,7808,4312
832,7808,4312
833,7808,4312
834,7808,4312
835,7808,4312
836,7808,4312
837,7808,4312
838,7808,4312
839,7808,4312
840,7808,4312
841,7808,4312
842,7808,4312
843,7808,4312
844,7808,4312
845,7808,4312
846,7808,4312
847,7808,4312
848,7808,4312
849,7808,4313
850,7808,4314
851,7808,4315
852,7808,4316
853,7808,4319
854,7808,4322
855,7808,4325
856,7808,4328
857,7808,4329
858,7808,4330
859,7808,4331
860,7808,4332
861,7808,4333
862,7808,4334
863,7808,4335
864,7808,4336
865,7808,4336
866,7808,4336
867,7808,4336
868,7808,4336
869,7808,4336
870,7808,4336
871,7808,4336
872,7808,4336
873,7808,4336
874,7808,4336
875,7808,4336
876,7808,4336
877,7808,4335
878,7808,4334
879,7808,4333
880,7808,4332
881,7808,4332
882,7808,4332
883,7808,4332
884,7808,4332
885,7808,4332
886,7808,4332
887,7808,4332
888,7808,4332
889,7808,4332
890,7808,4332
891,7808,4332
892,7808,4332
893,7808,4332
894,7808,4332
895,7808,4332
896,7808,4332
897,7808,4332
898,7808,4332
899,7808,4332
900,7808,4332
901,7808,4332
902,7808,4332
903,7808,4332
904,7808,4332
905,7808,4332
906,7808,4332
907,7808,4332
908,7808,4332
909,7808,4332
910,7808,4332
911,7808,4332
912,7808,4332
913,7808,4332
914,7808,4332
915,7808,4332
916,7808,4332
917,7808,4332
918,7808,4332
919,7808,4332
920,7808,4332
921,7808,4332
922,7808,4332
923,7808,4332
924,7808,4332
925,7808,4332
926,7808,4332
927,7808,4332
928,7808,4332
929,7808,4332
930,7808,4332
931,7808,4332
932,7808,4332
933,7808,4332
934,7808,4332
935,7808,4332
936,7808,4332
937,7808,4332
938,7808,4332
939,7808,4332
940,7808,4332
941,7808,4332
942,7808,4332
943,7808,4332
944,7808,4332
945,7808,4332
946,7808,4332
947,7808,4332
948,7808,4332
949,7808,4332
950,7808,4332
951,7808,4332
952,7808,4332
953,7808,4331
954,7808,4330
955,7808,4329
956,7808,4328
957,7808,4328
958,7808,4328
959,7808,4328
960,7808,4328
961,7808,4328
962,7808,4328
963,7808,4328
964,7808,4328
965,7808,4328
966,7808,4328
967,7808,4328
968,7808,4328
969,7808,4328
970,7808,4328
971,7808,4328
972,7808,4328
973,7808,4328
974,7808,4328
975,7808,4328
976,7808,4328
977,7808,4328
978,7808,4328
979,7808,4328
980,7808,4328
981,7808,4328
982,7808,4328
983,7808,4328
984,7808,4328
985,7808,4328
986,7808,4328
987,7808,4328
988,7808,4328
989,7808,4328
990,7808,4328
991,7808,4328
992,7808,4328
993,7808,4328
994,7808,4328
995,7808,4328
996,7808,4328
997,7808,4329
998,7808,4330
999,7808,4331
1000,7808,4332
1001,7808,4333
1002,7808,4334
1003,7808,4335
1004,7808,4336
1005,7808,4339
1006,7808,4342
1007,7808,4345
1008,7808,4348
1009,7808,4348
1010,7808,4348
1011,7808,4348
1012,7808,4348
1013,7808,4348
1014,7808,4348
1015,7808,4348
1016,7808,4348
1017,7808,4348
1018,7808,4348
1019,7808,4348
1020,7808,4348
1021,7808,4348
1022,7808,4348
1023,7808,4348
1024,7808,4348
1025,7808,4348
1026,7808,4348
1027,7808,4348
1028,7808,4348
1029,7808,4348
1030,7808,4348
1031,7808,4348
1032,7808,4348
1033,7808,4348
1034,7808,4348
1035,7808,4348
1036,7808,4348
1037,7808,4348
1038,7808,4348
1039,7808,4348
1040,7808,4348
1041,7808,4348
1042,7808,4348
1043,7808,4348
1044,7808,4348
1045,7808,4349
1046,7808,4350
1047,7808,4351
1048,7808,4352
1049,7808,4352
1050,7808,4352
1051,7808,4352
1052,7808,4352
1053,7808,4352
1054,7808,4352
1055,7808,4352
1056,7808,4352
1057,7808,4352
1058,7808,4352
1059,7808,4352
1060,7808,4352
1061,7808,4352
1062,7808,4352
1063,7808,4352
1064,7808,4352
1065,7808,4352
1066,7808,4352
1067,7808,4352
1068,7808,4352
1069,7808,4352
1070,7808,4352
1071,7808,4352
1072,7808,4352
1073,7808,4352
1074,7808,4352
1075,7808,4352
1076,7808,4352
1077,7808,4352
1078,7808,4352
1079,7808,4352
1080,7808,4352
1081,7808,4352
1082,7808,4352
1083,7808,4352
1084,7808,4352
1085,7808,4352
1086,7808,4352
1087,7808,4352
1088,7808,4352
1089,7808,4353
1090,7808,4354
1091,7808,4355
1092,7808,4356
1093,7808,4356
1094,7808,4356
1095,7808,4356
1096,7808,4356
1097,7808,4356
1098,7808,4356
1099,7808,4356
1100,7808,4356
1101,7808,4357
1102,7808,4358
1103,7808,4359
1104,7808,4360
1105,7808,4361
1106,7808,4362
1107,7808,4363
1108,7808,4364
1109,7808,4366
1110,7808,4368
1111,7808,4370
1112,7808,4372
1113,7808,4373
1114,7808,4374
1115,7808,4375
1116,7808,4376
1117,7808,4376
1118,7808,4376
1119,7808,4376
1120,7808,4376
1121,7808,4376
1122,7808,4376
1123,7808,4376
1124,7808,4376
1125,7808,4378
1126,7808,4380
1127,7808,4382
1128,7808,4384
1129,7808,4385
1130,7808,4386
1131,7808,4387
1132,7808,4388
1133,7808,4388
1134,7808,4388
1135,7808,4388
1136,7808,4388
1137,7808,4389
1138,7808,4390
1139,7808,4391
1140,7808,4392
1141,7808,4392
1142,7808,4392
1143,7808,4392
1144,7808,4392
1145,7808,4392
1146,7808,4392
1147,7808,4392
1148,7808,4392
1149,7808,4392
1150,7808,4392
1151,7808,4392
1152,7808,4392
1153,7808,4392
1154,7808,4392
1155,7808,4392
1156,7808,4392
1157,7808,4392
1158,7808,4392
1159,7808,4392
1160,7808,4392
1161,7808,4392
1162,7808,4392
1163,7808,4392
1164,7808,4392
1165,7808,4391
1166,7808,4390
1167,7808,4389
1168,7808,4388
1169,7808,4388
1170,7808,4388
1171,7808,4388
1172,7808,4388
1173,7808,4388
1174,7808,4388
1175,7808,4388
1176,7808,4388
1177,7808,4388
1178,7808,4388
1179,7808,4388
1180,7808,4388
1181,7808,4388
1182,7808,4388
1183,7808,4388
1184,7808,4388
1185,7808,4388
1186,7808,4388
1187,7808,4388
1188,7808,4388
1189,7808,4387
1190,7808,4386
1191,7808,4385
1192,7808,4384
1193,7808,4384
1194,7808,4384
1195,7808,4384
1196,7808,4384
1197,7808,4383
1198,7808,4382
1199,7808,4381
1200,7808,4380
1201,7808,4380
1202,7808,4380
1203,7808,4380
1204,7808,4380
1205,7808,4380
1206,7808,4380
1207,7808,4380
1208,7808,4380
1209,7808,4380
1210,7808,4380
1211,7808,4380
1212,7808,4380
1213,7808,4381
1214,7808,4382
1215,7808,4383
1216,7808,4384
1217,7808,4384
1218,7808,4384
1219,7808,4384
1220,7808,4384
1221,7808,4384
1222,7808,4384
1223,7808,4384
1224,7808,4384
1225,7808,4384
1226,7808,4384
1227,7808,4384
1228,7808,4384
1229,7808,4384
1230,7808,4384
1231,7808,4384
1232,7808,4384
1233,7808,4384
1234,7808,4384
1235,7808,4384
1236,7808,4384
1237,7808,4384
1238,7808,4384
1239,7808,4384
1240,7808,4384
1241,7808,4384
1242,7808,4384
1243,7808,4384
1244,7808,4384
1245,7808,4384
1246,7808,4384
1247,7808,4384
1248,7808,4384
1249,7808,4385
1250,7808,4386
1251,7808,4387
1252,7808,4388
1253,7808,4388
1254,7808,4388
1255,7808,4388
1256,7808,4388
1257,7808,4389
1258,7808,4390
1259,7808,4391
1260,7808,4392
1261,7808,4392
1262,7808,4392
1263,7808,4392
1264,7808,4392
1265,7808,4392
1266,7808,4392
1267,7808,4392
1268,7808,4392
1269,7808,4392
1270,7808,4392
1271,7808,4392
1272,7808,4392
1273,7808,4392
1274,7808,4392
1275,7808,4392
1276,7808,4392
1277,7808,4392
1278,7808,4392
1279,7808,4392
1280,7808,4392
1281,7808,4392
1282,7808,4392
1283,7808,4392
1284,7808,4392
1285,7808,4392
1286,7808,4392
1287,7808,4392
1288,7808,4392
1289,7808,4392
1290,7808,4392
1291,7808,4392
1292,7808,4392
1293,7808,4392
1294,7808,4392
1295,7808,4392
1296,7808,4392
1297,7808,4392
1298,7808,4392
1299,7808,4392
1300,7808,4392
1301,7808,4392
1302,7808,4392
1303,7808,4392
1304,7808,4392
1305,7808,4393
1306,7808,4394
1307,7808,4395
1308,7808,4396
1309,7808,4397
1310,7808,4398
1311,7808,4399
1312,7808,4400
1313,7808,4406
1314,7808,4412
1315,7808,4418
1316,7808,4424
1317,7808,4425
1318,7808,4426
1319,7808,4427
1320,7808,4428
1321,7808,4428
1322,7808,4428
1323,7808,4428
1324,7808,4428
1325,7808,4428
1326,7808,4428
1327,7808,4428
1328,7808,4428
1329,7808,4428
1330,7808,4428
1331,7808,4428
1332,7808,4428
1333,7808,4429
1334,7808,4430
1335,7808,4431
1336,7808,4432
1337,7808,4434
1338,7808,4436
1339,7808,4438
1340,7808,4440
1341,7808,4442
1342,7808,4444
1343,7808,4446
1344,7808,4448
1345,7808,4448
1346,7808,4448
1347,7808,4448
1348,7808,4448
1349,7808,4448
1350,7808,4448
1351,7808,4448
1352,7808,4448
1353,7808,4449
1354,7808,4450
1355,7808,4451
1356,7808,4452
1357,7808,4452
1358,7808,4452
1359,7808,4452
1360,7808,4452
1361,7808,4452
1362,7808,4452
1363,7808,4452
1364,7808,4452
1365,7808,4452
1366,7808,4452
1367,7808,4452
1368,7808,4452
1369,7808,4452
1370,7808,4452
1371,7808,4452
1372,7808,4452
1373,7808,4452
1374,7808,4452
1375,7808,4452
1376,7808,4452
1377,7808,4451
1378,7808,4450
1379,7808,4449
1380,7808,4448
1381,7808,4448
1382,7808,4448
1383,7808,4448
1384,7808,4448
1385,7808,4448
1386,7808,4448
1387,7808,4448
1388,7808,4448
1389,7808,4448
1390,7808,4448
1391,7808,4448
1392,7808,4448
1393,7808,4448
1394,7808,4448
1395,7808,4448
1396,7808,4448
1397,7808,4448
1398,7808,4448
1399,7808,4448
1400,7808,4448
1401,7808,4448
1402,7808,4448
1403,7808,4448
1404,7808,4448
1405,7808,4448
1406,7808,4448
1407,7808,4448
1408,7808,4448
1409,7808,4447
1410,7808,4446
1411,7808,4445
1412,7808,4444
1413,7808,4444
1414,7808,4444
1415,7808,4444
1416,7808,4444
1417,7808,4444
1418,7808,4444
1419,7808,4444
1420,7808,4444
1421,7808,4444
1422,7808,4444
1423,7808,4444
1424,7808,4444
1425,7808,4443
1426,7808,4442
1427,7808,4441
1428,7808,4440
1429,7808,4440
1430,7808,4440
1431,7808,4440
1432,7808,4440
1433,7808,4441
1434,7808,4442
1435,7808,4443
1436,7808,4444
1437,7808,4444
1438,7808,4444
1439,7808,4444
1440,7808,4444
1441,7808,4446
1442,7808,4448
1443,7808,4450
1444,7808,4452
1445,7808,4452
1446,7808,4452
1447,7808,4452
1448,7808,4452
1449,7808,4453
1450,7808,4454
1451,7808,4455
1452,7808,4456
1453,7808,4457
1454,7808,4458
1455,7808,4459
1456,7808,4460
1457,7808,4460
1458,7808,4460
1459,7808,4460
1460,7808,4460
1461,7808,4461
1462,7808,4462
1463,7808,4463
1464,7808,4464
1465,7808,4466
1466,7808,4468
1467,7808,4470
1468,7808,4472
1469,7808,4473
1470,7808,4474
1471,7808,4475
1472,7808,4476
1473,7808,4478
1474,7808,4480
1475,7808,4482
1476,7808,4484
1477,7808,4485
1478,7808,4486
1479,7808,4487
1480,7808,4488
1481,7808,4489
1482,7808,4490
1483,7808,4491
1484,7808,4492
1485,7808,4492
1486,7808,4492
1487,7808,4492
1488,7808,4492
1489,7808,4493
1490,7808,4494
1491,7808,4495
1492,7808,4496
1493,7808,4497
1494,7808,4498
1495,7808,4499
1496,7808,4500
1497,7808,4500
1498,7808,4500
1499,7808,4500
1500,7808,4500
1501,7808,4500
1502,7808,4500
1503,7808,4500
1504,7808,4500
1505,7808,4500
1506,7808,4500
1507,7808,4500
1508,7808,4500
1509,7808,4501
1510,7808,4502
1511,7808,4503
1512,7808,4504
1513,7808,4505
1514,7808,4506
1515,7808,4507
1516,7808,4508
1517,7808,4509
1518,7808,4510
1519,7808,4511
1520,7808,4512
1521,7808,4512
1522,7808,4512
1523,7808,4512
1524,7808,4512
1525,7808,4514
1526,7808,4516
1527,7808,4518
1528,7808,4520
1529,7808,4521
1530,7808,4522
1531,7808,4523
1532,7808,4524
1533,7808,4524
1534,7808,4524
1535,7808,4524
1536,7808,4524
1537,7808,4521
1538,7808,4518
1539,7808,4515
1540,7808,4512
1541,7808,4512
1542,7808,4512
1543,7808,4512
1544,7808,4512
1545,7808,4511
1546,7808,4510
1547,7808,4509
1548,7808,4508
1549,7808,4508
1550,7808,4508
1551,7808,4508
1552,7808,4508
1553,7808,4508
1554,7808,4508
1555,7808,4508
1556,7808,4508
1557,7808,4508
1558,7808,4508
1559,7808,4508
1560,7808,4508
1561,7808,4509
1562,7808,4510
1563,7808,4511
1564,7808,4512
1565,7808,4512
1566,7808,4512
1567,7808,4512
1568,7808,4512
1569,7808,4512
1570,7808,4512
1571,7808,4512
1572,7808,4512
1573,7808,4512
1574,7808,4512
1575,7808,4512
1576,7808,4512
1577,7808,4513
1578,7808,4514
1579,7808,4515
1580,7808,4516
1581,7808,4517
1582,7808,4518
1583,7808,4519
1584,7808,4520
1585,7808,4520
1586,7808,4520
1587,7808,4520
1588,7808,4520
1589,7808,4521
1590,7808,4522
1591,7808,4523
1592,7808,4524
1593,7808,4524
1594,7808,4524
1595,7808,4524
1596,7808,4524
1597,7808,4525
1598,7808,4526
1599,7808,4527
1600,7808,4528
1601,7808,4531
1602,7808,4534
1603,7808,4537
1604,7808,4540
1605,7808,4541
1606,7808,4542
1607,7808,4543
1608,7808,4544
1609,7808,4545
1610,7808,4546
1611,7808,4547
1612,7808,4548
1613,7808,4549
1614,7808,4550
1615,7808,4551
1616,7808,4552
1617,7808,4554
1618,7808,4556
1619,7808,4558
1620,7808,4560
1621,7808,4562
1622,7808,4564
1623,7808,4566
1624,7808,4568
1625,7808,4571
1626,7808,4574
1627,7808,4577
1628,7808,4580
1629,7808,4583
1630,7808,4586
1631,7808,4589
1632,7808,4592
1633,7808,4595
1634,7808,4598
1635,7808,4601
1636,7808,4604
1637,7808,4604
1638,7808,4604
1639,7808,4604
1640,7808,4604
1641,7808,4605
1642,7808,4606
1643,7808,4607
1644,7808,4608
1645,7808,4609
1646,7808,4610
1647,7808,4611
1648,7808,4612
1649,7808,4612
1650,7808,4612
1651,7808,4612
1652,7808,4612
1653,7808,4613
1654,7808,4614
1655,7808,4615
1656,7808,4616
1657,7808,4616
1658,7808,4616
1659,7808,4616
1660,7808,4616
1661,7808,4616
1662,7808,4616
1663,7808,4616
1664,7808,4616
