Z: 0, X: 0, Y: 0
Z: 156, X: 1326, Y: 799
Z: 157, X: 1326, Y: 799
Z: 158, X: 1326, Y: 799
Z: 159, X: 1326, Y: 799
Z: 160, X: 1326, Y: 799
Z: 161, X: 1326, Y: 799
Z: 162, X: 1331, Y: 795
Z: 163, X: 1331, Y: 795
Z: 164, X: 1331, Y: 795
Z: 165, X: 1331, Y: 795
Z: 166, X: 1331, Y: 795
Z: 167, X: 1331, Y: 795
Z: 168, X: 1331, Y: 795
Z: 169, X: 1331, Y: 795
Z: 170, X: 1333, Y: 794
Z: 171, X: 1333, Y: 794
Z: 172, X: 1333, Y: 794
Z: 173, X: 1333, Y: 794
Z: 174, X: 1333, Y: 794
Z: 175, X: 1333, Y: 794
Z: 176, X: 1333, Y: 794
Z: 177, X: 1333, Y: 794
Z: 178, X: 1333, Y: 794
Z: 179, X: 1333, Y: 794
Z: 180, X: 1333, Y: 794
Z: 181, X: 1333, Y: 794
Z: 182, X: 1333, Y: 794
Z: 183, X: 1333, Y: 794
Z: 184, X: 1333, Y: 794
Z: 185, X: 1333, Y: 794
Z: 186, X: 1333, Y: 794
Z: 187, X: 1333, Y: 794
Z: 188, X: 1333, Y: 792
Z: 189, X: 1332, Y: 791
Z: 190, X: 1331, Y: 790
Z: 191, X: 1331, Y: 790
Z: 192, X: 1331, Y: 790
Z: 193, X: 1331, Y: 790
Z: 194, X: 1331, Y: 790
Z: 195, X: 1331, Y: 790
Z: 196, X: 1331, Y: 790
Z: 197, X: 1331, Y: 790
Z: 198, X: 1331, Y: 790
Z: 199, X: 1331, Y: 790
Z: 200, X: 1331, Y: 790
Z: 201, X: 1331, Y: 790
Z: 202, X: 1331, Y: 790
Z: 203, X: 1331, Y: 790
Z: 204, X: 1331, Y: 790
Z: 205, X: 1331, Y: 790
Z: 206, X: 1331, Y: 790
Z: 207, X: 1331, Y: 790
Z: 208, X: 1331, Y: 790
Z: 209, X: 1331, Y: 790
Z: 210, X: 1331, Y: 790
Z: 211, X: 1331, Y: 790
Z: 212, X: 1331, Y: 790
Z: 213, X: 1331, Y: 790
Z: 214, X: 1331, Y: 790
Z: 215, X: 1331, Y: 790
Z: 216, X: 1331, Y: 790
Z: 217, X: 1331, Y: 790
Z: 218, X: 1331, Y: 790
Z: 219, X: 1331, Y: 790
Z: 220, X: 1331, Y: 790
Z: 221, X: 1331, Y: 790
Z: 222, X: 1331, Y: 790
Z: 223, X: 1331, Y: 790
Z: 224, X: 1331, Y: 790
Z: 225, X: 1331, Y: 790
Z: 226, X: 1331, Y: 790
Z: 227, X: 1331, Y: 790
Z: 228, X: 1331, Y: 790
Z: 229, X: 1331, Y: 790
Z: 230, X: 1331, Y: 790
Z: 231, X: 1331, Y: 790
Z: 232, X: 1331, Y: 790
Z: 233, X: 1331, Y: 790
Z: 234, X: 1331, Y: 790
Z: 235, X: 1330, Y: 790
Z: 236, X: 1330, Y: 790
Z: 237, X: 1329, Y: 790
Z: 238, X: 1329, Y: 790
Z: 239, X: 1329, Y: 790
Z: 240, X: 1328, Y: 789
Z: 241, X: 1326, Y: 788
Z: 242, X: 1326, Y: 788
Z: 243, X: 1326, Y: 788
Z: 244, X: 1326, Y: 788
Z: 245, X: 1326, Y: 788
Z: 246, X: 1326, Y: 788
Z: 247, X: 1326, Y: 788
Z: 248, X: 1326, Y: 788
Z: 249, X: 1326, Y: 788
Z: 250, X: 1326, Y: 788
Z: 251, X: 1326, Y: 787
Z: 252, X: 1326, Y: 787
Z: 253, X: 1325, Y: 787
Z: 254, X: 1325, Y: 787
Z: 255, X: 1325, Y: 787
Z: 256, X: 1325, Y: 787
Z: 257, X: 1325, Y: 787
Z: 258, X: 1325, Y: 787
Z: 259, X: 1325, Y: 787
Z: 260, X: 1325, Y: 787
Z: 261, X: 1325, Y: 787
Z: 262, X: 1324, Y: 786
Z: 263, X: 1322, Y: 785
Z: 264, X: 1320, Y: 784
Z: 265, X: 1320, Y: 784
Z: 266, X: 1320, Y: 784
Z: 267, X: 1320, Y: 784
Z: 268, X: 1320, Y: 784
Z: 269, X: 1320, Y: 784
Z: 270, X: 1320, Y: 784
Z: 271, X: 1320, Y: 784
Z: 272, X: 1320, Y: 784
Z: 273, X: 1321, Y: 781
Z: 274, X: 1321, Y: 780
Z: 275, X: 1321, Y: 779
Z: 276, X: 1322, Y: 778
Z: 277, X: 1322, Y: 778
Z: 278, X: 1322, Y: 778
Z: 279, X: 1322, Y: 778
Z: 280, X: 1322, Y: 778
Z: 281, X: 1322, Y: 778
Z: 282, X: 1322, Y: 778
Z: 283, X: 1322, Y: 778
Z: 284, X: 1322, Y: 778
Z: 285, X: 1322, Y: 778
Z: 286, X: 1322, Y: 778
Z: 287, X: 1322, Y: 778
Z: 288, X: 1322, Y: 778
Z: 289, X: 1322, Y: 778
Z: 290, X: 1322, Y: 778
Z: 291, X: 1322, Y: 778
Z: 292, X: 1322, Y: 778
Z: 293, X: 1322, Y: 778
Z: 294, X: 1322, Y: 778
Z: 295, X: 1322, Y: 778
Z: 296, X: 1322, Y: 778
Z: 297, X: 1322, Y: 778
Z: 298, X: 1322, Y: 778
Z: 299, X: 1322, Y: 778
Z: 300, X: 1322, Y: 778
Z: 301, X: 1322, Y: 778
Z: 302, X: 1322, Y: 778
Z: 303, X: 1322, Y: 778
Z: 304, X: 1322, Y: 778
Z: 305, X: 1322, Y: 778
Z: 306, X: 1322, Y: 778
Z: 307, X: 1322, Y: 778
Z: 308, X: 1322, Y: 778
Z: 309, X: 1322, Y: 778
Z: 310, X: 1322, Y: 778
Z: 311, X: 1322, Y: 778
Z: 312, X: 1322, Y: 778
Z: 313, X: 1322, Y: 778
Z: 314, X: 1322, Y: 778
Z: 315, X: 1322, Y: 778
Z: 316, X: 1322, Y: 778
Z: 317, X: 1322, Y: 778
Z: 318, X: 1322, Y: 778
Z: 319, X: 1322, Y: 778
Z: 320, X: 1322, Y: 778
Z: 321, X: 1322, Y: 778
Z: 322, X: 1322, Y: 778
Z: 323, X: 1322, Y: 778
Z: 324, X: 1321, Y: 778
Z: 325, X: 1321, Y: 778
Z: 326, X: 1321, Y: 778
Z: 327, X: 1321, Y: 778
Z: 328, X: 1321, Y: 778
Z: 329, X: 1321, Y: 778
Z: 330, X: 1320, Y: 778
Z: 331, X: 1320, Y: 779
Z: 332, X: 1319, Y: 779
Z: 333, X: 1319, Y: 780
Z: 334, X: 1319, Y: 781
Z: 335, X: 1318, Y: 781
Z: 336, X: 1318, Y: 781
Z: 337, X: 1321, Y: 781
Z: 338, X: 1321, Y: 781
Z: 339, X: 1324, Y: 781
Z: 340, X: 1324, Y: 781
Z: 341, X: 1324, Y: 781
Z: 342, X: 1325, Y: 781
Z: 343, X: 1326, Y: 781
Z: 344, X: 1326, Y: 781
Z: 345, X: 1326, Y: 781
Z: 346, X: 1327, Y: 781
Z: 347, X: 1328, Y: 781
Z: 348, X: 1329, Y: 781
Z: 349, X: 1330, Y: 781
Z: 350, X: 1333, Y: 781
Z: 351, X: 1334, Y: 781
Z: 352, X: 1334, Y: 781
Z: 353, X: 1337, Y: 781
Z: 354, X: 1338, Y: 781
Z: 355, X: 1338, Y: 781
Z: 356, X: 1338, Y: 781
Z: 357, X: 1338, Y: 781
Z: 358, X: 1338, Y: 781
Z: 359, X: 1338, Y: 781
Z: 360, X: 1338, Y: 781
Z: 361, X: 1338, Y: 781
Z: 362, X: 1338, Y: 781
Z: 363, X: 1338, Y: 781
Z: 364, X: 1338, Y: 781
Z: 365, X: 1338, Y: 781
Z: 366, X: 1338, Y: 781
Z: 367, X: 1337, Y: 781
Z: 368, X: 1336, Y: 781
Z: 369, X: 1336, Y: 781
Z: 370, X: 1336, Y: 781
Z: 371, X: 1336, Y: 781
Z: 372, X: 1336, Y: 781
Z: 373, X: 1336, Y: 781
Z: 374, X: 1336, Y: 781
Z: 375, X: 1336, Y: 781
Z: 376, X: 1337, Y: 781
Z: 377, X: 1337, Y: 781
Z: 378, X: 1338, Y: 780
Z: 379, X: 1338, Y: 780
Z: 380, X: 1338, Y: 779
Z: 381, X: 1338, Y: 779
Z: 382, X: 1338, Y: 778
Z: 383, X: 1338, Y: 777
Z: 384, X: 1338, Y: 777
Z: 385, X: 1338, Y: 777
Z: 386, X: 1343, Y: 776
Z: 387, X: 1343, Y: 776
Z: 388, X: 1343, Y: 776
Z: 389, X: 1343, Y: 776
Z: 390, X: 1343, Y: 776
Z: 391, X: 1343, Y: 776
Z: 392, X: 1342, Y: 776
Z: 393, X: 1342, Y: 776
Z: 394, X: 1342, Y: 776
Z: 395, X: 1341, Y: 776
Z: 396, X: 1341, Y: 776
Z: 397, X: 1341, Y: 776
Z: 398, X: 1341, Y: 776
Z: 399, X: 1341, Y: 776
Z: 400, X: 1340, Y: 776
Z: 401, X: 1340, Y: 776
Z: 402, X: 1340, Y: 776
Z: 403, X: 1340, Y: 776
Z: 404, X: 1340, Y: 776
Z: 405, X: 1340, Y: 776
Z: 406, X: 1340, Y: 776
Z: 407, X: 1340, Y: 776
Z: 408, X: 1340, Y: 776
Z: 409, X: 1340, Y: 776
Z: 410, X: 1339, Y: 776
Z: 411, X: 1338, Y: 776
Z: 412, X: 1338, Y: 776
Z: 413, X: 1337, Y: 776
Z: 414, X: 1337, Y: 776
Z: 415, X: 1336, Y: 776
Z: 416, X: 1336, Y: 776
Z: 417, X: 1336, Y: 776
Z: 418, X: 1335, Y: 776
Z: 419, X: 1335, Y: 776
Z: 420, X: 1334, Y: 776
Z: 421, X: 1334, Y: 776
Z: 422, X: 1333, Y: 776
Z: 423, X: 1333, Y: 776
Z: 424, X: 1333, Y: 776
Z: 425, X: 1333, Y: 776
Z: 426, X: 1333, Y: 776
Z: 427, X: 1333, Y: 776
Z: 428, X: 1333, Y: 776
Z: 429, X: 1332, Y: 776
Z: 430, X: 1332, Y: 776
Z: 431, X: 1331, Y: 776
Z: 432, X: 1329, Y: 775
Z: 433, X: 1327, Y: 775
Z: 434, X: 1327, Y: 775
Z: 435, X: 1327, Y: 775
Z: 436, X: 1327, Y: 775
Z: 437, X: 1327, Y: 775
Z: 438, X: 1327, Y: 775
Z: 439, X: 1327, Y: 775
Z: 440, X: 1327, Y: 775
Z: 441, X: 1327, Y: 775
Z: 442, X: 1327, Y: 775
Z: 443, X: 1327, Y: 775
Z: 444, X: 1327, Y: 775
Z: 445, X: 1327, Y: 775
Z: 446, X: 1327, Y: 775
Z: 447, X: 1327, Y: 775
Z: 448, X: 1327, Y: 775
Z: 449, X: 1327, Y: 775
Z: 450, X: 1327, Y: 775
Z: 451, X: 1327, Y: 775
Z: 452, X: 1327, Y: 775
Z: 453, X: 1327, Y: 775
Z: 454, X: 1327, Y: 775
Z: 455, X: 1327, Y: 775
Z: 456, X: 1327, Y: 775
Z: 457, X: 1327, Y: 775
Z: 458, X: 1327, Y: 775
Z: 459, X: 1324, Y: 775
Z: 460, X: 1316, Y: 773
Z: 461, X: 1314, Y: 773
Z: 462, X: 1314, Y: 772
Z: 463, X: 1314, Y: 772
Z: 464, X: 1314, Y: 772
Z: 465, X: 1314, Y: 772
Z: 466, X: 1314, Y: 772
Z: 467, X: 1314, Y: 772
Z: 468, X: 1314, Y: 772
Z: 469, X: 1314, Y: 772
Z: 470, X: 1314, Y: 772
Z: 471, X: 1314, Y: 772
Z: 472, X: 1314, Y: 772
Z: 473, X: 1314, Y: 772
Z: 474, X: 1314, Y: 771
Z: 475, X: 1314, Y: 771
Z: 476, X: 1314, Y: 770
Z: 477, X: 1313, Y: 769
Z: 478, X: 1313, Y: 767
Z: 479, X: 1313, Y: 767
Z: 480, X: 1313, Y: 766
Z: 481, X: 1313, Y: 766
Z: 482, X: 1313, Y: 765
Z: 483, X: 1313, Y: 765
Z: 484, X: 1313, Y: 765
Z: 485, X: 1313, Y: 765
Z: 486, X: 1313, Y: 765
Z: 487, X: 1313, Y: 765
Z: 488, X: 1313, Y: 765
Z: 489, X: 1313, Y: 765
Z: 490, X: 1313, Y: 765
Z: 491, X: 1313, Y: 765
Z: 492, X: 1313, Y: 765
Z: 493, X: 1313, Y: 766
Z: 494, X: 1312, Y: 766
Z: 495, X: 1312, Y: 766
Z: 496, X: 1312, Y: 766
Z: 497, X: 1312, Y: 766
Z: 498, X: 1312, Y: 766
Z: 499, X: 1312, Y: 766
Z: 500, X: 1312, Y: 766
Z: 501, X: 1312, Y: 766
Z: 502, X: 1312, Y: 766
Z: 503, X: 1312, Y: 766
Z: 504, X: 1312, Y: 766
Z: 505, X: 1312, Y: 766
Z: 506, X: 1312, Y: 766
Z: 507, X: 1312, Y: 766
Z: 508, X: 1312, Y: 766
Z: 509, X: 1312, Y: 766
Z: 510, X: 1312, Y: 766
Z: 511, X: 1312, Y: 766
Z: 512, X: 1312, Y: 766
Z: 513, X: 1312, Y: 766
Z: 514, X: 1312, Y: 766
Z: 515, X: 1312, Y: 766
Z: 516, X: 1312, Y: 766
Z: 517, X: 1312, Y: 766
Z: 518, X: 1312, Y: 766
Z: 519, X: 1312, Y: 766
Z: 520, X: 1312, Y: 766
Z: 521, X: 1312, Y: 766
Z: 522, X: 1312, Y: 766
Z: 523, X: 1312, Y: 766
Z: 524, X: 1312, Y: 766
Z: 525, X: 1312, Y: 766
Z: 526, X: 1312, Y: 766
Z: 527, X: 1312, Y: 766
Z: 528, X: 1312, Y: 766
Z: 529, X: 1312, Y: 766
Z: 530, X: 1312, Y: 766
Z: 531, X: 1311, Y: 766
Z: 532, X: 1309, Y: 766
Z: 533, X: 1309, Y: 766
Z: 534, X: 1309, Y: 766
Z: 535, X: 1309, Y: 766
Z: 536, X: 1309, Y: 766
Z: 537, X: 1309, Y: 766
Z: 538, X: 1309, Y: 766
Z: 539, X: 1309, Y: 766
Z: 540, X: 1309, Y: 766
Z: 541, X: 1309, Y: 766
Z: 542, X: 1309, Y: 766
Z: 543, X: 1309, Y: 766
Z: 544, X: 1309, Y: 766
Z: 545, X: 1309, Y: 766
Z: 546, X: 1309, Y: 766
Z: 547, X: 1309, Y: 766
Z: 548, X: 1309, Y: 766
Z: 549, X: 1309, Y: 766
Z: 550, X: 1309, Y: 766
Z: 551, X: 1309, Y: 766
Z: 552, X: 1309, Y: 766
Z: 553, X: 1309, Y: 766
Z: 554, X: 1307, Y: 765
Z: 555, X: 1306, Y: 765
Z: 556, X: 1305, Y: 764
Z: 557, X: 1305, Y: 764
Z: 558, X: 1305, Y: 764
Z: 559, X: 1305, Y: 764
Z: 560, X: 1305, Y: 764
Z: 561, X: 1305, Y: 764
Z: 562, X: 1305, Y: 764
Z: 563, X: 1304, Y: 764
Z: 564, X: 1304, Y: 764
Z: 565, X: 1303, Y: 763
Z: 566, X: 1302, Y: 762
Z: 567, X: 1302, Y: 762
Z: 568, X: 1302, Y: 761
Z: 569, X: 1302, Y: 760
Z: 570, X: 1302, Y: 760
Z: 571, X: 1302, Y: 760
Z: 572, X: 1302, Y: 760
Z: 573, X: 1302, Y: 760
Z: 574, X: 1302, Y: 760
Z: 575, X: 1302, Y: 759
Z: 576, X: 1302, Y: 759
Z: 577, X: 1302, Y: 758
Z: 578, X: 1302, Y: 758
Z: 579, X: 1302, Y: 758
Z: 580, X: 1302, Y: 758
Z: 581, X: 1302, Y: 758
Z: 582, X: 1302, Y: 758
Z: 583, X: 1302, Y: 758
Z: 584, X: 1302, Y: 758
Z: 585, X: 1302, Y: 758
Z: 586, X: 1302, Y: 758
Z: 587, X: 1302, Y: 758
Z: 588, X: 1302, Y: 757
Z: 589, X: 1301, Y: 756
Z: 590, X: 1301, Y: 756
Z: 591, X: 1301, Y: 756
Z: 592, X: 1301, Y: 756
Z: 593, X: 1301, Y: 756
Z: 594, X: 1301, Y: 756
Z: 595, X: 1301, Y: 756
Z: 596, X: 1301, Y: 756
Z: 597, X: 1301, Y: 756
Z: 598, X: 1301, Y: 756
Z: 599, X: 1301, Y: 756
Z: 600, X: 1301, Y: 756
Z: 601, X: 1301, Y: 756
Z: 602, X: 1299, Y: 755
Z: 603, X: 1297, Y: 753
Z: 604, X: 1297, Y: 753
Z: 605, X: 1297, Y: 753
Z: 606, X: 1297, Y: 753
Z: 607, X: 1297, Y: 753
Z: 608, X: 1297, Y: 753
Z: 609, X: 1297, Y: 753
Z: 610, X: 1297, Y: 753
Z: 611, X: 1297, Y: 753
Z: 612, X: 1297, Y: 753
Z: 613, X: 1297, Y: 753
Z: 614, X: 1297, Y: 753
Z: 615, X: 1297, Y: 753
Z: 616, X: 1301, Y: 751
Z: 617, X: 1304, Y: 749
Z: 618, X: 1304, Y: 749
Z: 619, X: 1304, Y: 749
Z: 620, X: 1304, Y: 749
Z: 621, X: 1304, Y: 749
Z: 622, X: 1306, Y: 746
Z: 623, X: 1307, Y: 745
Z: 624, X: 1308, Y: 745
Z: 625, X: 1309, Y: 742
Z: 626, X: 1309, Y: 741
Z: 627, X: 1309, Y: 741
Z: 628, X: 1309, Y: 741
Z: 629, X: 1308, Y: 741
Z: 630, X: 1307, Y: 741
Z: 631, X: 1307, Y: 742
Z: 632, X: 1307, Y: 742
Z: 633, X: 1307, Y: 742
Z: 634, X: 1307, Y: 742
Z: 635, X: 1307, Y: 742
Z: 636, X: 1307, Y: 742
Z: 637, X: 1307, Y: 742
Z: 638, X: 1307, Y: 742
Z: 639, X: 1307, Y: 742
Z: 640, X: 1307, Y: 742
Z: 641, X: 1306, Y: 742
Z: 642, X: 1305, Y: 742
Z: 643, X: 1305, Y: 742
Z: 644, X: 1304, Y: 742
Z: 645, X: 1303, Y: 742
Z: 646, X: 1303, Y: 742
Z: 647, X: 1303, Y: 742
Z: 648, X: 1303, Y: 742
Z: 649, X: 1303, Y: 742
Z: 650, X: 1303, Y: 742
Z: 651, X: 1303, Y: 742
Z: 652, X: 1303, Y: 742
Z: 653, X: 1303, Y: 742
Z: 654, X: 1303, Y: 742
Z: 655, X: 1303, Y: 742
Z: 656, X: 1301, Y: 742
Z: 657, X: 1300, Y: 743
Z: 658, X: 1300, Y: 743
Z: 659, X: 1300, Y: 743
Z: 660, X: 1300, Y: 743
Z: 661, X: 1300, Y: 743
Z: 662, X: 1301, Y: 742
Z: 663, X: 1301, Y: 742
Z: 664, X: 1301, Y: 742
Z: 665, X: 1301, Y: 742
Z: 666, X: 1301, Y: 742
Z: 667, X: 1301, Y: 742
Z: 668, X: 1301, Y: 742
Z: 669, X: 1301, Y: 742
Z: 670, X: 1300, Y: 742
Z: 671, X: 1300, Y: 742
Z: 672, X: 1300, Y: 742
Z: 673, X: 1300, Y: 742
Z: 674, X: 1300, Y: 742
Z: 675, X: 1300, Y: 742
Z: 676, X: 1300, Y: 740
Z: 677, X: 1299, Y: 739
Z: 678, X: 1299, Y: 738
Z: 679, X: 1299, Y: 737
Z: 680, X: 1299, Y: 737
Z: 681, X: 1299, Y: 736
Z: 682, X: 1298, Y: 736
Z: 683, X: 1298, Y: 736
Z: 684, X: 1298, Y: 736
Z: 685, X: 1298, Y: 736
Z: 686, X: 1298, Y: 736
Z: 687, X: 1298, Y: 736
Z: 688, X: 1298, Y: 736
Z: 689, X: 1298, Y: 736
Z: 690, X: 1298, Y: 735
Z: 691, X: 1298, Y: 734
Z: 692, X: 1298, Y: 733
Z: 693, X: 1298, Y: 733
Z: 694, X: 1298, Y: 733
Z: 695, X: 1299, Y: 733
Z: 696, X: 1301, Y: 732
Z: 697, X: 1301, Y: 731
Z: 698, X: 1301, Y: 730
Z: 699, X: 1301, Y: 730
Z: 700, X: 1301, Y: 730
Z: 701, X: 1301, Y: 730
Z: 702, X: 1301, Y: 730
Z: 703, X: 1301, Y: 730
Z: 704, X: 1298, Y: 727
Z: 705, X: 1297, Y: 727
Z: 706, X: 1297, Y: 727
Z: 707, X: 1297, Y: 728
Z: 708, X: 1297, Y: 728
Z: 709, X: 1297, Y: 728
Z: 710, X: 1297, Y: 728
Z: 711, X: 1297, Y: 728
Z: 712, X: 1297, Y: 728
Z: 713, X: 1297, Y: 727
Z: 714, X: 1297, Y: 727
Z: 715, X: 1297, Y: 726
Z: 716, X: 1297, Y: 726
Z: 717, X: 1297, Y: 725
Z: 718, X: 1297, Y: 725
Z: 719, X: 1297, Y: 725
Z: 720, X: 1297, Y: 724
Z: 721, X: 1297, Y: 723
Z: 722, X: 1297, Y: 723
Z: 723, X: 1297, Y: 723
Z: 724, X: 1297, Y: 723
Z: 725, X: 1297, Y: 723
Z: 726, X: 1297, Y: 723
Z: 727, X: 1297, Y: 723
Z: 728, X: 1297, Y: 723
Z: 729, X: 1297, Y: 723
Z: 730, X: 1297, Y: 723
Z: 731, X: 1297, Y: 723
Z: 732, X: 1297, Y: 723
Z: 733, X: 1297, Y: 723
Z: 734, X: 1297, Y: 723
Z: 735, X: 1297, Y: 722
Z: 736, X: 1297, Y: 722
Z: 737, X: 1297, Y: 722
Z: 738, X: 1297, Y: 722
Z: 739, X: 1297, Y: 722
Z: 740, X: 1297, Y: 722
Z: 741, X: 1297, Y: 722
Z: 742, X: 1297, Y: 722
Z: 743, X: 1297, Y: 722
Z: 744, X: 1297, Y: 722
Z: 745, X: 1297, Y: 722
Z: 746, X: 1297, Y: 722
Z: 747, X: 1297, Y: 722
Z: 748, X: 1297, Y: 721
Z: 749, X: 1297, Y: 721
Z: 750, X: 1297, Y: 721
Z: 751, X: 1297, Y: 720
Z: 752, X: 1297, Y: 720
Z: 753, X: 1297, Y: 719
Z: 754, X: 1297, Y: 718
Z: 755, X: 1297, Y: 717
Z: 756, X: 1298, Y: 716
Z: 757, X: 1298, Y: 716
Z: 758, X: 1298, Y: 715
Z: 759, X: 1298, Y: 715
Z: 760, X: 1298, Y: 715
Z: 761, X: 1298, Y: 714
Z: 762, X: 1298, Y: 714
Z: 763, X: 1298, Y: 713
Z: 764, X: 1298, Y: 713
Z: 765, X: 1298, Y: 712
Z: 766, X: 1298, Y: 712
Z: 767, X: 1298, Y: 711
Z: 768, X: 1298, Y: 711
Z: 769, X: 1297, Y: 709
Z: 770, X: 1296, Y: 709
Z: 771, X: 1296, Y: 709
Z: 772, X: 1296, Y: 709
Z: 773, X: 1296, Y: 709
Z: 774, X: 1296, Y: 709
Z: 775, X: 1296, Y: 708
