/Users/forrest/miniconda3/bin/python /Users/forrest/vesuviusfullsolve/scripts/viewer2d.py
Z: 0, Y: 0, X: 0
Z: 113, Y: 550, X: 407
Z: 114, Y: 555, X: 413
Z: 115, Y: 563, X: 426
Z: 116, Y: 569, X: 432
Z: 117, Y: 572, X: 435
Z: 118, Y: 578, X: 440
Z: 119, Y: 584, X: 447
Z: 120, Y: 588, X: 454
Z: 121, Y: 594, X: 462
Z: 122, Y: 599, X: 469
Z: 123, Y: 603, X: 478
Z: 124, Y: 605, X: 483
Z: 125, Y: 608, X: 488
Z: 126, Y: 620, X: 502
Z: 127, Y: 624, X: 510
Z: 128, Y: 626, X: 521
Z: 129, Y: 628, X: 536
Z: 130, Y: 628, X: 536
Z: 131, Y: 632, X: 547
Z: 132, Y: 632, X: 547
Z: 133, Y: 632, X: 547
Z: 134, Y: 632, X: 549
Z: 135, Y: 638, X: 574
Z: 136, Y: 640, X: 591
Z: 137, Y: 640, X: 600
Z: 138, Y: 640, X: 615
Z: 139, Y: 640, X: 631
Z: 140, Y: 639, X: 639
Z: 141, Y: 635, X: 648
Z: 142, Y: 632, X: 656
Z: 143, Y: 630, X: 663
Z: 144, Y: 626, X: 670
Z: 145, Y: 623, X: 676
Z: 146, Y: 620, X: 682
Z: 147, Y: 614, X: 689
Z: 148, Y: 610, X: 696
Z: 149, Y: 609, X: 702
Z: 150, Y: 609, X: 710
Z: 151, Y: 608, X: 719
Z: 152, Y: 607, X: 738
Z: 153, Y: 606, X: 746
Z: 154, Y: 606, X: 746
Z: 155, Y: 606, X: 746
Z: 156, Y: 604, X: 757
Z: 157, Y: 603, X: 774
Z: 158, Y: 603, X: 780
Z: 159, Y: 602, X: 786
Z: 160, Y: 601, X: 795
Z: 161, Y: 601, X: 804
Z: 162, Y: 602, X: 815
Z: 163, Y: 604, X: 823
Z: 164, Y: 604, X: 826
Z: 165, Y: 605, X: 833
Z: 166, Y: 605, X: 839
Z: 167, Y: 606, X: 848
Z: 168, Y: 608, X: 861
Z: 169, Y: 608, X: 872
Z: 170, Y: 608, X: 881
Z: 171, Y: 605, X: 889
Z: 172, Y: 603, X: 894
Z: 173, Y: 601, X: 902
Z: 174, Y: 598, X: 913
Z: 175, Y: 595, X: 926
Z: 176, Y: 593, X: 934
Z: 177, Y: 593, X: 934
Z: 178, Y: 593, X: 934
Z: 179, Y: 591, X: 943
Z: 180, Y: 588, X: 953
Z: 181, Y: 585, X: 959
Z: 182, Y: 584, X: 961
Z: 183, Y: 578, X: 970
Z: 184, Y: 574, X: 976
Z: 185, Y: 571, X: 980
Z: 186, Y: 568, X: 984
Z: 187, Y: 565, X: 989
Z: 188, Y: 560, X: 995
Z: 189, Y: 556, X: 999
Z: 190, Y: 551, X: 1003
Z: 191, Y: 548, X: 1007
Z: 192, Y: 544, X: 1011
Z: 193, Y: 541, X: 1011
Z: 194, Y: 537, X: 1011
Z: 195, Y: 534, X: 1011
Z: 196, Y: 529, X: 1011
Z: 197, Y: 525, X: 1011
Z: 198, Y: 521, X: 1011
Z: 199, Y: 517, X: 1011
Z: 200, Y: 514, X: 1011
Z: 201, Y: 509, X: 1011
Z: 202, Y: 505, X: 1011
Z: 203, Y: 502, X: 1011
Z: 204, Y: 500, X: 1011
Z: 205, Y: 500, X: 1011
Z: 206, Y: 500, X: 1011
Z: 207, Y: 490, X: 1011
Z: 208, Y: 484, X: 1011
Z: 209, Y: 479, X: 1011
Z: 210, Y: 473, X: 1011
Z: 211, Y: 467, X: 1011
Z: 212, Y: 461, X: 1011
Z: 213, Y: 457, X: 1011
Z: 214, Y: 454, X: 1011
Z: 215, Y: 451, X: 1011
Z: 216, Y: 449, X: 1011
Z: 217, Y: 444, X: 1011
Z: 218, Y: 436, X: 1011
Z: 219, Y: 423, X: 1011
Z: 220, Y: 412, X: 1011
Z: 221, Y: 396, X: 1011
Z: 222, Y: 374, X: 1011
Z: 223, Y: 374, X: 1011
Z: 224, Y: 374, X: 1011
Z: 225, Y: 374, X: 1011
Z: 226, Y: 365, X: 1011
Z: 227, Y: 356, X: 1011
Z: 228, Y: 344, X: 1011
Z: 229, Y: 327, X: 1011
Z: 230, Y: 317, X: 1011
Z: 231, Y: 307, X: 1011
Z: 232, Y: 299, X: 1011
Z: 233, Y: 290, X: 1011
Z: 234, Y: 283, X: 1011
Z: 235, Y: 276, X: 1011
Z: 236, Y: 270, X: 1011
Z: 237, Y: 266, X: 1011
Z: 238, Y: 260, X: 1011
Z: 239, Y: 251, X: 1011
Z: 240, Y: 242, X: 1011
Z: 241, Y: 232, X: 1011
Z: 242, Y: 221, X: 1011
Z: 243, Y: 221, X: 1011
Z: 244, Y: 221, X: 1011
Z: 245, Y: 221, X: 1011
Z: 246, Y: 218, X: 1011
Z: 247, Y: 204, X: 1011
Z: 248, Y: 196, X: 1011
Z: 249, Y: 191, X: 1011
Z: 250, Y: 182, X: 1011
Z: 251, Y: 175, X: 1011
Z: 252, Y: 166, X: 1011
Z: 253, Y: 150, X: 1011
Z: 254, Y: 130, X: 1011
Z: 255, Y: 112, X: 1011
Z: 256, Y: 111, X: 1011
Z: 257, Y: 111, X: 1011
Z: 258, Y: 111, X: 1011
Z: 259, Y: 110, X: 1002
Z: 260, Y: 95, X: 954
Z: 261, Y: 88, X: 944
Z: 262, Y: 79, X: 928
Z: 263, Y: 72, X: 916
Z: 264, Y: 69, X: 909
Z: 265, Y: 68, X: 901
Z: 266, Y: 67, X: 893
Z: 267, Y: 67, X: 884
Z: 268, Y: 65, X: 878
Z: 269, Y: 63, X: 870
Z: 270, Y: 61, X: 857
Z: 271, Y: 60, X: 838
Z: 272, Y: 58, X: 831
Z: 273, Y: 56, X: 826
Z: 274, Y: 53, X: 821
Z: 275, Y: 47, X: 813
Z: 276, Y: 42, X: 803
Z: 277, Y: 36, X: 790
Z: 278, Y: 33, X: 782
Z: 279, Y: 30, X: 766
Z: 280, Y: 27, X: 741
Z: 281, Y: 25, X: 732
Z: 282, Y: 25, X: 725
Z: 283, Y: 23, X: 718
Z: 284, Y: 21, X: 706
Z: 285, Y: 23, X: 691
Z: 286, Y: 31, X: 683
Z: 287, Y: 31, X: 683
Z: 288, Y: 31, X: 683
Z: 289, Y: 31, X: 683
Z: 290, Y: 31, X: 681
Z: 291, Y: 35, X: 676
Z: 292, Y: 38, X: 669
Z: 293, Y: 44, X: 658
Z: 294, Y: 47, X: 647
Z: 295, Y: 50, X: 628
Z: 296, Y: 51, X: 619
Z: 297, Y: 51, X: 608
Z: 298, Y: 51, X: 596
Z: 299, Y: 52, X: 585
Z: 300, Y: 52, X: 576
Z: 301, Y: 52, X: 568
Z: 302, Y: 52, X: 558
Z: 303, Y: 53, X: 542
Z: 304, Y: 54, X: 528
Z: 305, Y: 55, X: 513
Z: 306, Y: 56, X: 496
Z: 307, Y: 57, X: 483
Z: 308, Y: 59, X: 472
Z: 309, Y: 60, X: 464
Z: 310, Y: 62, X: 450
Z: 311, Y: 65, X: 432
Z: 312, Y: 67, X: 424
Z: 313, Y: 67, X: 424
Z: 314, Y: 67, X: 424
Z: 315, Y: 67, X: 424
Z: 316, Y: 69, X: 407
Z: 317, Y: 70, X: 389
Z: 318, Y: 70, X: 377
Z: 319, Y: 72, X: 365
Z: 320, Y: 73, X: 357
Z: 321, Y: 75, X: 349
Z: 322, Y: 78, X: 342
Z: 323, Y: 84, X: 335
Z: 324, Y: 89, X: 329
Z: 325, Y: 92, X: 326
Z: 326, Y: 97, X: 320
Z: 327, Y: 106, X: 313
Z: 328, Y: 112, X: 307
Z: 329, Y: 120, X: 299
Z: 330, Y: 131, X: 290
Z: 331, Y: 137, X: 285
Z: 332, Y: 145, X: 280
Z: 333, Y: 153, X: 275
Z: 334, Y: 162, X: 269
Z: 335, Y: 171, X: 265
Z: 336, Y: 181, X: 260
Z: 337, Y: 190, X: 258
Z: 338, Y: 200, X: 255
Z: 339, Y: 216, X: 250
Z: 340, Y: 225, X: 248
Z: 341, Y: 232, X: 248
Z: 342, Y: 235, X: 248
Z: 343, Y: 241, X: 248
Z: 344, Y: 249, X: 248
Z: 345, Y: 250, X: 248
Z: 346, Y: 250, X: 248
Z: 347, Y: 250, X: 248
Z: 348, Y: 256, X: 248
Z: 349, Y: 269, X: 248
Z: 350, Y: 275, X: 247
Z: 351, Y: 279, X: 246
Z: 352, Y: 285, X: 244
Z: 353, Y: 290, X: 243
Z: 354, Y: 298, X: 243
Z: 355, Y: 305, X: 243
Z: 356, Y: 312, X: 244
Z: 357, Y: 322, X: 246
Z: 358, Y: 328, X: 247
Z: 359, Y: 336, X: 248
Z: 360, Y: 351, X: 248
Z: 361, Y: 370, X: 248
Z: 362, Y: 382, X: 249
Z: 363, Y: 390, X: 251
Z: 364, Y: 400, X: 254
Z: 365, Y: 417, X: 258
Z: 366, Y: 428, X: 261
Z: 367, Y: 434, X: 263
Z: 368, Y: 434, X: 263
Z: 369, Y: 434, X: 263
Z: 370, Y: 434, X: 263
Z: 371, Y: 451, X: 274
Z: 372, Y: 455, X: 276
Z: 373, Y: 459, X: 280
Z: 374, Y: 465, X: 286
Z: 375, Y: 470, X: 291
Z: 376, Y: 475, X: 295
Z: 377, Y: 481, X: 299
Z: 378, Y: 485, X: 302
Z: 379, Y: 491, X: 307
Z: 380, Y: 498, X: 312
Z: 381, Y: 505, X: 316
Z: 382, Y: 510, X: 321
Z: 383, Y: 515, X: 328
Z: 384, Y: 522, X: 338
Z: 385, Y: 537, X: 365
Z: 386, Y: 538, X: 367
Z: 387, Y: 540, X: 370
Z: 388, Y: 540, X: 370
Z: 389, Y: 540, X: 370
Z: 390, Y: 540, X: 370
Z: 391, Y: 551, X: 378
Z: 392, Y: 558, X: 385
Z: 393, Y: 563, X: 391
Z: 394, Y: 569, X: 398
Z: 395, Y: 575, X: 407
Z: 396, Y: 578, X: 411
Z: 397, Y: 583, X: 418
Z: 398, Y: 588, X: 424
Z: 399, Y: 592, X: 430
Z: 400, Y: 598, X: 439
Z: 401, Y: 604, X: 450
Z: 402, Y: 613, X: 469
Z: 403, Y: 626, X: 494
Z: 404, Y: 642, X: 523
Z: 405, Y: 648, X: 536
Z: 406, Y: 651, X: 545
Z: 407, Y: 656, X: 565
Z: 408, Y: 662, X: 590
Z: 409, Y: 667, X: 609
Z: 410, Y: 667, X: 611
Z: 411, Y: 667, X: 611
Z: 412, Y: 667, X: 611
Z: 413, Y: 667, X: 611
Z: 414, Y: 669, X: 626
Z: 415, Y: 671, X: 643
Z: 416, Y: 670, X: 658
Z: 417, Y: 669, X: 668
Z: 418, Y: 667, X: 677
Z: 419, Y: 666, X: 689
Z: 420, Y: 664, X: 700
Z: 421, Y: 661, X: 714
Z: 422, Y: 658, X: 723
Z: 423, Y: 656, X: 730
Z: 424, Y: 655, X: 736
Z: 425, Y: 653, X: 744
Z: 426, Y: 652, X: 749
Z: 427, Y: 651, X: 754
Z: 428, Y: 650, X: 762
Z: 429, Y: 650, X: 770
Z: 430, Y: 650, X: 779
Z: 431, Y: 650, X: 787
Z: 432, Y: 650, X: 795
Z: 433, Y: 648, X: 808
Z: 434, Y: 645, X: 827
Z: 435, Y: 642, X: 837
Z: 436, Y: 642, X: 837
Z: 437, Y: 642, X: 837
Z: 438, Y: 642, X: 837
Z: 439, Y: 641, X: 846
Z: 440, Y: 639, X: 852
Z: 441, Y: 636, X: 860
Z: 442, Y: 630, X: 875
Z: 443, Y: 625, X: 885
Z: 444, Y: 620, X: 894
Z: 445, Y: 617, X: 899
Z: 446, Y: 614, X: 904
Z: 447, Y: 609, X: 911
Z: 448, Y: 603, X: 918
Z: 449, Y: 600, X: 922
Z: 450, Y: 596, X: 927
Z: 451, Y: 592, X: 933
Z: 452, Y: 587, X: 939
Z: 453, Y: 582, X: 948
Z: 454, Y: 575, X: 960
Z: 455, Y: 567, X: 971
Z: 456, Y: 561, X: 979
Z: 457, Y: 556, X: 985
Z: 458, Y: 552, X: 992
Z: 459, Y: 547, X: 1001
Z: 460, Y: 539, X: 1011
Z: 461, Y: 536, X: 1011
Z: 462, Y: 534, X: 1011
Z: 463, Y: 532, X: 1011
Z: 464, Y: 529, X: 1011
Z: 465, Y: 524, X: 1011
Z: 466, Y: 520, X: 1011
Z: 467, Y: 520, X: 1011
Z: 468, Y: 520, X: 1011
Z: 469, Y: 520, X: 1011
Z: 470, Y: 520, X: 1011
Z: 471, Y: 518, X: 1011
Z: 472, Y: 510, X: 1011
Z: 473, Y: 503, X: 1011
Z: 474, Y: 498, X: 1011
Z: 475, Y: 490, X: 1011
Z: 476, Y: 482, X: 1011
Z: 477, Y: 475, X: 1011
Z: 478, Y: 470, X: 1011
Z: 479, Y: 466, X: 1011
Z: 480, Y: 461, X: 1011
Z: 481, Y: 456, X: 1011
Z: 482, Y: 453, X: 1011
Z: 483, Y: 448, X: 1011
Z: 484, Y: 438, X: 1011
Z: 485, Y: 431, X: 1011
Z: 486, Y: 426, X: 1011
Z: 487, Y: 420, X: 1011
Z: 488, Y: 412, X: 1011
Z: 489, Y: 406, X: 1011
Z: 490, Y: 396, X: 1011
Z: 491, Y: 391, X: 1011
Z: 492, Y: 388, X: 1011
Z: 493, Y: 383, X: 1011
Z: 494, Y: 377, X: 1011
Z: 495, Y: 372, X: 1011
Z: 496, Y: 368, X: 1011
Z: 497, Y: 368, X: 1011
Z: 498, Y: 368, X: 1011
Z: 499, Y: 368, X: 1011
Z: 500, Y: 363, X: 1011
Z: 501, Y: 348, X: 1011
Z: 502, Y: 334, X: 1011
Z: 503, Y: 324, X: 1011
Z: 504, Y: 315, X: 1011
Z: 505, Y: 307, X: 1011
Z: 506, Y: 304, X: 1011
Z: 507, Y: 299, X: 1011
Z: 508, Y: 291, X: 1011
Z: 509, Y: 285, X: 1011
Z: 510, Y: 279, X: 1011
Z: 511, Y: 270, X: 1011
Z: 512, Y: 267, X: 1011
Z: 513, Y: 263, X: 1011
Z: 514, Y: 262, X: 1011
Z: 515, Y: 258, X: 1011
Z: 516, Y: 253, X: 1011
Z: 517, Y: 248, X: 1011
Z: 518, Y: 242, X: 1011
Z: 519, Y: 241, X: 1011
Z: 520, Y: 241, X: 1011
Z: 521, Y: 241, X: 1011
Z: 522, Y: 236, X: 1011
Z: 523, Y: 228, X: 1011
Z: 524, Y: 226, X: 1011
Z: 525, Y: 221, X: 1011
Z: 526, Y: 213, X: 1011
Z: 527, Y: 210, X: 1011
Z: 528, Y: 207, X: 1011
Z: 529, Y: 202, X: 1011
Z: 530, Y: 197, X: 1011
Z: 531, Y: 194, X: 1011
Z: 532, Y: 189, X: 1011
Z: 533, Y: 184, X: 1011
Z: 534, Y: 177, X: 1011
Z: 535, Y: 169, X: 1011
Z: 536, Y: 165, X: 1011
Z: 537, Y: 165, X: 1011
Z: 538, Y: 165, X: 1011
Z: 539, Y: 165, X: 1011
Z: 540, Y: 163, X: 1011
Z: 541, Y: 153, X: 1011
Z: 542, Y: 146, X: 1011
Z: 543, Y: 142, X: 1011
Z: 544, Y: 136, X: 1011
Z: 545, Y: 130, X: 1011
Z: 546, Y: 121, X: 1011
Z: 547, Y: 114, X: 1011
Z: 548, Y: 108, X: 1006
Z: 549, Y: 98, X: 979
Z: 550, Y: 94, X: 960
Z: 551, Y: 92, X: 948
Z: 552, Y: 88, X: 932
Z: 553, Y: 87, X: 914
Z: 554, Y: 88, X: 896
Z: 555, Y: 88, X: 887
Z: 556, Y: 88, X: 879
Z: 557, Y: 88, X: 869
Z: 558, Y: 87, X: 856
Z: 559, Y: 82, X: 837
Z: 560, Y: 78, X: 827
Z: 561, Y: 78, X: 827
Z: 562, Y: 78, X: 827
Z: 563, Y: 78, X: 826
Z: 564, Y: 66, X: 801
Z: 565, Y: 65, X: 798
Z: 566, Y: 61, X: 786
Z: 567, Y: 60, X: 769
Z: 568, Y: 62, X: 757
Z: 569, Y: 71, X: 740
Z: 570, Y: 78, X: 728
Z: 571, Y: 90, X: 717
Z: 572, Y: 96, X: 711
Z: 573, Y: 103, X: 701
Z: 574, Y: 109, X: 690
Z: 575, Y: 114, X: 675
Z: 576, Y: 115, X: 647
Z: 577, Y: 112, X: 634
Z: 578, Y: 112, X: 634
Z: 579, Y: 112, X: 634
Z: 580, Y: 112, X: 632
Z: 581, Y: 115, X: 582
Z: 582, Y: 116, X: 572
Z: 583, Y: 115, X: 557
Z: 584, Y: 115, X: 539
Z: 585, Y: 115, X: 519
Z: 586, Y: 115, X: 503
Z: 587, Y: 115, X: 488
Z: 588, Y: 114, X: 472
Z: 589, Y: 110, X: 445
Z: 590, Y: 108, X: 422
Z: 591, Y: 108, X: 419
Z: 592, Y: 108, X: 419
Z: 593, Y: 108, X: 419
Z: 594, Y: 105, X: 397
Z: 595, Y: 101, X: 384
Z: 596, Y: 97, X: 362
Z: 597, Y: 96, X: 352
Z: 598, Y: 96, X: 343
Z: 599, Y: 98, X: 329
Z: 600, Y: 106, X: 316
Z: 601, Y: 115, X: 305
Z: 602, Y: 124, X: 298
Z: 603, Y: 132, X: 294
Z: 604, Y: 145, X: 288
Z: 605, Y: 158, X: 283
Z: 606, Y: 169, X: 281
Z: 607, Y: 181, X: 279
Z: 608, Y: 191, X: 278
Z: 609, Y: 204, X: 277
Z: 610, Y: 233, X: 276
Z: 611, Y: 252, X: 276
Z: 612, Y: 252, X: 276
Z: 613, Y: 252, X: 276
Z: 614, Y: 252, X: 276
Z: 615, Y: 274, X: 280
Z: 616, Y: 290, X: 282
Z: 617, Y: 302, X: 284
Z: 618, Y: 321, X: 284
Z: 619, Y: 335, X: 284
Z: 620, Y: 349, X: 284
Z: 621, Y: 361, X: 284
Z: 622, Y: 373, X: 284
Z: 623, Y: 385, X: 284
Z: 624, Y: 400, X: 288
Z: 625, Y: 423, X: 291
Z: 626, Y: 444, X: 297
Z: 627, Y: 456, X: 299
Z: 628, Y: 457, X: 299
Z: 629, Y: 457, X: 299
Z: 630, Y: 457, X: 299
Z: 631, Y: 458, X: 299
Z: 632, Y: 476, X: 301
Z: 633, Y: 494, X: 301
Z: 634, Y: 513, X: 301
Z: 635, Y: 526, X: 303
Z: 636, Y: 536, X: 307
Z: 637, Y: 544, X: 313
Z: 638, Y: 554, X: 322
Z: 639, Y: 562, X: 330
Z: 640, Y: 573, X: 343
Z: 641, Y: 592, X: 363
Z: 642, Y: 595, X: 364
Z: 643, Y: 608, X: 375
Z: 644, Y: 621, X: 385
Z: 645, Y: 630, X: 393
Z: 646, Y: 637, X: 401
Z: 647, Y: 639, X: 402
Z: 648, Y: 639, X: 402
Z: 649, Y: 639, X: 402
Z: 650, Y: 639, X: 406
Z: 651, Y: 648, X: 425
Z: 652, Y: 652, X: 434
Z: 653, Y: 656, X: 447
Z: 654, Y: 659, X: 457
Z: 655, Y: 664, X: 466
Z: 656, Y: 667, X: 472
Z: 657, Y: 674, X: 486
Z: 658, Y: 684, X: 500
Z: 659, Y: 691, X: 510
Z: 660, Y: 701, X: 524
Z: 661, Y: 710, X: 540
Z: 662, Y: 716, X: 560
Z: 663, Y: 718, X: 577
Z: 664, Y: 718, X: 589
Z: 665, Y: 718, X: 602
Z: 666, Y: 718, X: 610
Z: 667, Y: 718, X: 611
Z: 668, Y: 718, X: 611
Z: 669, Y: 718, X: 611
Z: 670, Y: 718, X: 612
Z: 671, Y: 722, X: 623
Z: 672, Y: 725, X: 641
Z: 673, Y: 726, X: 666
Z: 674, Y: 726, X: 682
Z: 675, Y: 726, X: 693
Z: 676, Y: 726, X: 705
Z: 677, Y: 726, X: 711
Z: 678, Y: 728, X: 718
Z: 679, Y: 730, X: 727
Z: 680, Y: 732, X: 731
Z: 681, Y: 732, X: 731
Z: 682, Y: 732, X: 731
Z: 683, Y: 732, X: 736
Z: 684, Y: 735, X: 762
Z: 685, Y: 737, X: 772
Z: 686, Y: 737, X: 779
Z: 687, Y: 733, X: 793
Z: 688, Y: 730, X: 803
Z: 689, Y: 729, X: 811
Z: 690, Y: 728, X: 820
Z: 691, Y: 726, X: 829
Z: 692, Y: 726, X: 835
Z: 693, Y: 724, X: 843
Z: 694, Y: 723, X: 849
Z: 695, Y: 720, X: 856
Z: 696, Y: 719, X: 861
Z: 697, Y: 719, X: 864
Z: 698, Y: 718, X: 868
Z: 699, Y: 716, X: 877
Z: 700, Y: 714, X: 887
Z: 701, Y: 712, X: 898
Z: 702, Y: 710, X: 902
Z: 703, Y: 706, X: 906
Z: 704, Y: 700, X: 913
Z: 705, Y: 695, X: 922
Z: 706, Y: 688, X: 934
Z: 707, Y: 685, X: 939
Z: 708, Y: 676, X: 949
Z: 709, Y: 662, X: 962
Z: 710, Y: 646, X: 974
Z: 711, Y: 631, X: 990
Z: 712, Y: 631, X: 990
Z: 713, Y: 631, X: 990
Z: 714, Y: 631, X: 990
Z: 715, Y: 631, X: 990
Z: 716, Y: 626, X: 992
Z: 717, Y: 616, X: 999
Z: 718, Y: 611, X: 1004
Z: 719, Y: 605, X: 1008
Z: 720, Y: 597, X: 1011
Z: 721, Y: 588, X: 1011
Z: 722, Y: 579, X: 1011
Z: 723, Y: 573, X: 1011
Z: 724, Y: 566, X: 1011
Z: 725, Y: 558, X: 1011
Z: 726, Y: 550, X: 1011
Z: 727, Y: 539, X: 1011
Z: 728, Y: 526, X: 1011
Z: 729, Y: 514, X: 1011
Z: 730, Y: 510, X: 1011
Z: 731, Y: 505, X: 1011
Z: 732, Y: 497, X: 1011
Z: 733, Y: 482, X: 1011
Z: 734, Y: 473, X: 1011
Z: 735, Y: 465, X: 1011
Z: 736, Y: 456, X: 1011
Z: 737, Y: 456, X: 1011
Z: 738, Y: 456, X: 1011
Z: 739, Y: 455, X: 1011
Z: 740, Y: 444, X: 1011
Z: 741, Y: 432, X: 1011
Z: 742, Y: 422, X: 1011
Z: 743, Y: 416, X: 1011
Z: 744, Y: 408, X: 1011
Z: 745, Y: 396, X: 1011
Z: 746, Y: 387, X: 1011
Z: 747, Y: 383, X: 1011
Z: 748, Y: 379, X: 1011
Z: 749, Y: 375, X: 1011
Z: 750, Y: 372, X: 1011
Z: 751, Y: 372, X: 1011
Z: 752, Y: 372, X: 1011
Z: 753, Y: 359, X: 1011
Z: 754, Y: 340, X: 1011
Z: 755, Y: 320, X: 1011
Z: 756, Y: 310, X: 1011
Z: 757, Y: 302, X: 1011
Z: 758, Y: 291, X: 1011
Z: 759, Y: 282, X: 1011
Z: 760, Y: 277, X: 1011
Z: 761, Y: 272, X: 1011
Z: 762, Y: 265, X: 1011
Z: 763, Y: 259, X: 1011
Z: 764, Y: 249, X: 1011
Z: 765, Y: 240, X: 1011
Z: 766, Y: 238, X: 1011
Z: 767, Y: 237, X: 1011
Z: 768, Y: 234, X: 1011
Z: 769, Y: 228, X: 1011
Z: 770, Y: 228, X: 1011
Z: 771, Y: 228, X: 1011
Z: 772, Y: 228, X: 1011
Z: 773, Y: 228, X: 1011
Z: 774, Y: 224, X: 1011
Z: 775, Y: 216, X: 1011
Z: 776, Y: 208, X: 1011
Z: 777, Y: 200, X: 1011
Z: 778, Y: 192, X: 1011
Z: 779, Y: 183, X: 1011
Z: 780, Y: 176, X: 1011
Z: 781, Y: 168, X: 1011
Z: 782, Y: 157, X: 1011
Z: 783, Y: 148, X: 994
Z: 784, Y: 142, X: 973
Z: 785, Y: 139, X: 960
Z: 786, Y: 136, X: 947
Z: 787, Y: 131, X: 935
Z: 788, Y: 129, X: 920
Z: 789, Y: 129, X: 919
Z: 790, Y: 129, X: 919
Z: 791, Y: 129, X: 919
Z: 792, Y: 130, X: 905
Z: 793, Y: 130, X: 888
Z: 794, Y: 130, X: 875
Z: 795, Y: 130, X: 864
Z: 796, Y: 127, X: 857
